,RiderID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,PULocationID,PUBorough,PUZone,DOLocationID,DOBorough,DOZone,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount,congestion_surcharge
92,93,2024-06-20 11:42:54,2024-06-20 11:49:46,1.0,0.55,1.0,249,Manhattan,West Village,249,Manhattan,West Village,2,7.9,0.0,0.5,0.0,0.0,11.9,2.5
93,94,2024-06-20 08:38:34,2024-06-20 08:41:42,1.0,0.47,1.0,186,Manhattan,Penn Station/Madison Sq West,90,Manhattan,Flatiron,2,5.1,0.0,0.5,0.0,0.0,9.1,2.5
94,95,2024-06-19 20:34:20,2024-06-19 20:55:01,2.0,8.83,1.0,138,Queens,LaGuardia Airport,164,Manhattan,Midtown South,1,35.9,6.0,0.5,10.57,6.94,65.16,2.5
95,96,2024-06-19 14:48:13,2024-06-19 15:26:24,1.0,9.3,1.0,138,Queens,LaGuardia Airport,186,Manhattan,Penn Station/Madison Sq West,1,45.0,5.0,0.5,15.23,6.94,77.92,2.5
96,97,2024-06-18 16:39:34,2024-06-18 16:49:07,1.0,2.26,1.0,263,Manhattan,Yorkville West,140,Manhattan,Lenox Hill East,1,12.1,2.5,0.5,3.72,0.0,22.32,2.5
97,98,2024-06-18 16:21:24,2024-06-18 16:35:05,1.0,0.88,1.0,162,Manhattan,Midtown East,229,Manhattan,Sutton Place/Turtle Bay North,1,12.8,2.5,0.5,3.86,0.0,23.16,2.5
98,99,2024-06-18 16:06:21,2024-06-18 16:19:01,1.0,1.36,1.0,186,Manhattan,Penn Station/Madison Sq West,163,Manhattan,Midtown North,1,12.1,2.5,0.5,4.65,0.0,23.25,2.5
99,100,2024-06-18 15:47:01,2024-06-18 15:53:08,3.0,0.89,1.0,166,Manhattan,Morningside Heights,151,Manhattan,Manhattan Valley,1,7.9,0.0,0.5,2.82,0.0,12.22,0.0
100,101,2024-06-18 11:57:01,2024-06-18 12:10:44,1.0,0.6,1.0,163,Manhattan,Midtown North,230,Manhattan,Times Sq/Theatre District,1,12.1,2.5,0.5,3.2,0.0,19.3,2.5
101,102,2024-06-17 16:25:41,2024-06-17 16:44:15,2.0,2.98,1.0,141,Manhattan,Lenox Hill West,238,Manhattan,Upper West Side North,1,19.1,2.5,0.5,5.12,0.0,30.72,2.5
